scenario_id,title,description,target_context,cue_type,activity_domain,modality_required,alignment,evidence_status,scenario_action,answer_key_action,severity,issue_types,what_works,what_doesnt,gap_analysis,overlap_with,recommended_changes
sc-01,Workshop Object Swap,Current-context object shift scenario in workshop where Turn 2 should pivot to the newly active referent.,current,object_shift,workshop,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in workshop and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-02,Kitchen Room Shift,Current-context spatial shift scenario in kitchen where Turn 2 should pivot to the newly active referent.,current,spatial_shift,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-03,Library Room Shift,Prior-context spatial shift scenario in library where Turn 2 should reach back to an earlier referent.,prior,spatial_shift,library,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,text_recall_too_easy,This scenario uses a recognizable prior-context shape in library and captures a real reference-carryover failure mode that a wearable assistant can hit.,"The answer is recoverable as direct Turn 1 text recall, so the context shift adds little real reference-resolution pressure.","This case fits the benchmark theme, but the released wording makes it closer to a short-term memory quiz than a strong situational reference test.",,Keep the scenario and answer keys as-is.
sc-04,Workshop Room Shift,Current-context spatial shift scenario in workshop where Turn 2 should pivot to the newly active referent.,current,spatial_shift,workshop,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,turn_2_too_open_ended,This scenario uses a recognizable current-context shape in workshop and captures a real reference-carryover failure mode that a wearable assistant can hit.,Turn 2 is broad enough that multiple reasonable answers could pass without proving the intended context selection.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-05,Retail Object Swap,Current-context object shift scenario in retail where Turn 2 should pivot to the newly active referent.,current,object_shift,retail,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in retail and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-06,Garage Room Shift,Current-context spatial shift scenario in garage where Turn 2 should pivot to the newly active referent.,current,spatial_shift,garage,text_sufficient,core-aligned,answerable-from-release,keep,keep,medium,repair_anchor_leak,This scenario uses a recognizable current-context shape in garage and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-07,Kitchen State Change,Current-context temporal state scenario in kitchen where Turn 2 should pivot to the newly active referent.,current,temporal_state,home_kitchen,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in kitchen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-08,Screen Object Swap,Current-context object shift scenario in screen where Turn 2 should pivot to the newly active referent.,current,object_shift,screen_only,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in screen and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-09,Yard Departure Recall,Prior-context object departure scenario in yard where Turn 2 should reach back to an earlier referent.,prior,object_departure,outdoor_yard,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable prior-context shape in yard and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
sc-10,Warehouse Room Shift,Current-context spatial shift scenario in warehouse where Turn 2 should pivot to the newly active referent.,current,spatial_shift,warehouse,text_sufficient,core-aligned,answerable-from-release,keep,keep,low,,This scenario uses a recognizable current-context shape in warehouse and captures a real reference-carryover failure mode that a wearable assistant can hit.,No major benchmark-quality issue stands out beyond normal maintenance risk.,This scenario stays within the benchmark’s stated scope and is sufficiently distinct to support product-facing model comparison.,,Keep the scenario and answer keys as-is.
